Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
1;A;Agilent Technologies, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00846U1016;ESVUFN;1,00;0,01;USD;23.11.2016 0:00:00
2;AA;Alcoa Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0138721065;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
3;AABA;Altaba Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0213461017;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
4;AAL;American Airlines Group Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US02376R1023;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
5;AAP;Advance Auto Parts, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00751Y1064;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
6;AAPL;Apple Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0378331005;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00
7;ABBN;Акционерное общество "Банк Астаны";Акции;Акции иностранного эмитента  обыкновенные;;KZ1C00001023;ESVUPR;1,00;0,10;RUB;30.06.2017 0:00:00
8;ABBV;AbbVie Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US00287Y1091;ESVXFR;1,00;0,01;USD;28.11.2014 0:00:00
9;ABT;Abbott Laboratories;Акции;Акции иностранного эмитента  обыкновенные;;US0028241000;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
10;ACH;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций Aluminum Corporation of China Limited;US0222761092;ESVUFA;1,00;0,01;USD;18.05.2017 0:00:00
11;ACN;Accenture plc;Акции;Акции иностранного эмитента  обыкновенные класса A;;IE00B4BNMY34;ESVUFR;1,00;0,01;USD;06.10.2016 0:00:00
12;ADBE;Adobe Systems Incorporated;Акции;Акции иностранного эмитента  обыкновенные;;US00724F1012;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
13;ADI;Analog Devices, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0326541051;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
14;ADM;Archer-Daniels-Midland Company;Акции;Акции иностранного эмитента  обыкновенные;;US0394831020;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
15;ADP;Automatic Data Processing, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0530151036;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
16;ADS;Alliance Data Systems Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0185811082;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00
17;ADSK;Autodesk, Inc.;Акции;Акции иностранного эмитента  обыкновенные;;US0527691069;ESVUFR;1,00;0,01;USD;23.11.2016 0:00:00
18;AEE;Ameren Corporation;Акции;Акции иностранного эмитента  обыкновенные;;US0236081024;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00
